original_tweet,input_text,candidate_summary,reference_summary,reward,relevance,tweet_relevance,context_relevance,factuality,minicheck_support_probability,minicheck_predicted_label,role_coverage,urgency,role,disaster_type,information_type,tweet_id,source_row_id
"Yikes, that smoke is too close for comfort. Stay safe, #Boulder! #flagstafffire","Responder Roles: Firefighter
Disaster Type: Wildfire
Tweet: Yikes, that smoke is too close for comfort. Stay safe, #Boulder! #flagstafffire
Secondary Annotations: FC
Information Type: Affected individuals","Firefighters should assess smoke proximity and potential fire spread near Boulder, preparing for possible containment efforts.",,0.7956234510987997,0.7904398813843727,0.816153883934021,0.73044054210186,0.475877970457077,0.475877970457077,0,1.0,1.0,Firefighter,Wildfire,Affected individuals,1,495
Colorado floods threaten more homes as another feared dead - video http://t.co/5RfRgJjXSn,"Responder Roles: Police
Disaster Type: Floods
Tweet: Colorado floods threaten more homes as another feared dead - video http://t.co/5RfRgJjXSn
Secondary Annotations: DCC
Information Type: Affected individuals",Police should assess potential evacuation needs and monitor for public safety threats related to the flooding situation in Colorado.,,0.3864696885645389,0.7627138823270797,0.762348860502243,0.7635655999183655,0.47807931900024414,0.47807931900024414,0,0.0,0.0,Police,Floods,Affected individuals,2,13091
"RT @mikesbloggity: Until Sunday, Tide is washing clothes for free at Glenmore Coin Laundry. #yycflood","Responder Roles: Police
Disaster Type: Floods
Tweet: RT @mikesbloggity: Until Sunday, Tide is washing clothes for free at Glenmore Coin Laundry. #yycflood
Secondary Annotations: DCC
Information Type: Donations and volunteering",Police should monitor crowd activity at the laundry and ensure safe access for volunteers during the flood response.,,0.4440554781258106,0.703311863541603,0.6844227463006973,0.7473864704370499,0.47158530354499817,0.47158530354499817,0,0.0,0.4,Police,Floods,Donations and volunteering,3,8537
RT @FireRescueNSW: #FRNSW &amp; #NSWRFS f/fighters have been busy across the Blue Mtns. One #FRNSW f/fighter rescued this guy. http://t.co/3mnU…,"Responder Roles: Police
Disaster Type: Wildfire
Tweet: RT @FireRescueNSW: #FRNSW &amp; #NSWRFS f/fighters have been busy across the Blue Mtns. One #FRNSW f/fighter rescued this guy. http://t.co/3mnU…
Secondary Annotations: DCC
Information Type: Affected individuals",Police should evaluate crowd control and evacuation routes due to ongoing wildfire rescue operations in the Blue Mountains.,,0.5625381218641996,0.7031372621655463,0.6689252704381943,0.7829652428627014,0.46576032042503357,0.46576032042503357,0,0.0,1.0,Police,Wildfire,Affected individuals,4,9053
HuffPostQuébec reports *at least* 80 missing #LacMegantic http://t.co/xfQbpKlM83,"Responder Roles: Police
Disaster Type: Derailment
Tweet: HuffPostQuébec reports *at least* 80 missing #LacMegantic http://t.co/xfQbpKlM83
Secondary Annotations: DCC
Information Type: Affected individuals",Police should assess the situation of 80 reported missing individuals and coordinate with DCC for effective response.,,0.6631579232960939,0.6938625738024712,0.6704769432544708,0.7484290450811386,0.48122408986091614,0.48122408986091614,0,1.0,0.5,Police,Derailment,Affected individuals,5,16148
BBC News - Bangladesh building collapse: Death toll passes 400 http://t.co/qcS5pwfH0f,"Responder Roles: Police
Disaster Type: Collapse
Tweet: BBC News - Bangladesh building collapse: Death toll passes 400 http://t.co/qcS5pwfH0f
Secondary Annotations: DCC
Information Type: Affected individuals",Police should assess crowd control needs and potential criminal activity following the reported building collapse with a high death toll.,,0.5727203838527203,0.7271427363157272,0.7134021818637848,0.7592040300369263,0.4728817045688629,0.4728817045688629,0,0.0,1.0,Police,Collapse,Affected individuals,6,23202
"RT @CherylPreheim: Heart wrenching @COEmergency reports 11,700 evacuated.  17,494 housing structures damaged, 1502 homes destroyed. #coflood","Responder Roles: Police
Disaster Type: Floods
Tweet: RT @CherylPreheim: Heart wrenching @COEmergency reports 11,700 evacuated.  17,494 housing structures damaged, 1502 homes destroyed. #coflood
Secondary Annotations: DCC
Information Type: Affected individuals","Police should assess evacuation routes and coordinate with DCC regarding the 11,700 evacuated individuals due to flooding.",,0.7844009634852409,0.7589337646961212,0.7401822805404663,0.8026872277259827,0.47509658336639404,0.47509658336639404,0,1.0,1.0,Police,Floods,Affected individuals,7,13194
RT @AlexSalmond: I can confirm that it is a police helicopter which has been involved in the tragic accident in Glasgow.  #Clutha,"Responder Roles: Police
Disaster Type: Crash
Tweet: RT @AlexSalmond: I can confirm that it is a police helicopter which has been involved in the tragic accident in Glasgow.  #Clutha
Secondary Annotations: DCC
Information Type: Other Useful Information",Police should assess the scene for public safety and crowd control following the helicopter crash in Glasgow.,,0.5770753119885921,0.7410970896482467,0.7489622384309769,0.7227450758218765,0.4707653224468231,0.4707653224468231,0,0.0,1.0,Police,Crash,Other Useful Information,8,14039
RT @LarimerSheriff: #HighParkFire evacuation orders issued for Pingree Park area.  25 notifications sent http://t.co/oSmxBfqJ,"Responder Roles: Firefighter
Disaster Type: Wildfire
Tweet: RT @LarimerSheriff: #HighParkFire evacuation orders issued for Pingree Park area.  25 notifications sent http://t.co/oSmxBfqJ
Secondary Annotations: USAR
Information Type: Caution and advice",Firefighters should evaluate evacuation orders and secure access routes for operations in the Pingree Park area due to the wildfire.,,0.7055628144741058,0.8073880314826964,0.8306185007095337,0.7531836032867432,0.4919080138206482,0.4919080138206482,0,0.5,1.0,Firefighter,Wildfire,Caution and advice,9,125
Bangladesh factory fire kills eight; collapse toll tops 900: DHAKA: Eight people were killed when a fire swept... http://t.co/nuhcLQ1QWm,"Responder Roles: Firefighter
Disaster Type: Collapse
Tweet: Bangladesh factory fire kills eight; collapse toll tops 900: DHAKA: Eight people were killed when a fire swept... http://t.co/nuhcLQ1QWm
Secondary Annotations: FC
Information Type: Affected individuals",Firefighters should evaluate the site for structural risks and focus on rescuing any potentially trapped individuals following the collapse.,,0.5446515049288669,0.734381978213787,0.7077397257089615,0.7965472340583801,0.4838045835494995,0.4838045835494995,0,0.3333333333333333,0.5,Firefighter,Collapse,Affected individuals,10,23524
