tweet_text,synthesized_summary,responder_role,secondary_annotation,disaster_type,information_type,input_text,source_row_id
"Yikes, that smoke is too close for comfort. Stay safe, #Boulder! #flagstafffire","Firefighters should assess smoke proximity and potential fire spread near Boulder, preparing for possible containment efforts.",Firefighter,FC,Wildfire,Affected individuals,"Responder Roles: Firefighter
Disaster Type: Wildfire
Tweet: Yikes, that smoke is too close for comfort. Stay safe, #Boulder! #flagstafffire
Secondary Annotations: FC
Information Type: Affected individuals",495
Colorado floods threaten more homes as another feared dead - video http://t.co/5RfRgJjXSn,Police should assess potential evacuation needs and monitor for public safety threats related to the flooding situation in Colorado.,Police,DCC,Floods,Affected individuals,"Responder Roles: Police
Disaster Type: Floods
Tweet: Colorado floods threaten more homes as another feared dead - video http://t.co/5RfRgJjXSn
Secondary Annotations: DCC
Information Type: Affected individuals",13091
"RT @mikesbloggity: Until Sunday, Tide is washing clothes for free at Glenmore Coin Laundry. #yycflood",Police should monitor crowd activity at the laundry and ensure safe access for volunteers during the flood response.,Police,DCC,Floods,Donations and volunteering,"Responder Roles: Police
Disaster Type: Floods
Tweet: RT @mikesbloggity: Until Sunday, Tide is washing clothes for free at Glenmore Coin Laundry. #yycflood
Secondary Annotations: DCC
Information Type: Donations and volunteering",8537
RT @FireRescueNSW: #FRNSW &amp; #NSWRFS f/fighters have been busy across the Blue Mtns. One #FRNSW f/fighter rescued this guy. http://t.co/3mnU…,Police should evaluate crowd control and evacuation routes due to ongoing wildfire rescue operations in the Blue Mountains.,Police,DCC,Wildfire,Affected individuals,"Responder Roles: Police
Disaster Type: Wildfire
Tweet: RT @FireRescueNSW: #FRNSW &amp; #NSWRFS f/fighters have been busy across the Blue Mtns. One #FRNSW f/fighter rescued this guy. http://t.co/3mnU…
Secondary Annotations: DCC
Information Type: Affected individuals",9053
HuffPostQuébec reports *at least* 80 missing #LacMegantic http://t.co/xfQbpKlM83,Police should assess the situation of 80 reported missing individuals and coordinate with DCC for effective response.,Police,DCC,Derailment,Affected individuals,"Responder Roles: Police
Disaster Type: Derailment
Tweet: HuffPostQuébec reports *at least* 80 missing #LacMegantic http://t.co/xfQbpKlM83
Secondary Annotations: DCC
Information Type: Affected individuals",16148
BBC News - Bangladesh building collapse: Death toll passes 400 http://t.co/qcS5pwfH0f,Police should assess crowd control needs and potential criminal activity following the reported building collapse with a high death toll.,Police,DCC,Collapse,Affected individuals,"Responder Roles: Police
Disaster Type: Collapse
Tweet: BBC News - Bangladesh building collapse: Death toll passes 400 http://t.co/qcS5pwfH0f
Secondary Annotations: DCC
Information Type: Affected individuals",23202
"RT @CherylPreheim: Heart wrenching @COEmergency reports 11,700 evacuated.  17,494 housing structures damaged, 1502 homes destroyed. #coflood","Police should assess evacuation routes and coordinate with DCC regarding the 11,700 evacuated individuals due to flooding.",Police,DCC,Floods,Affected individuals,"Responder Roles: Police
Disaster Type: Floods
Tweet: RT @CherylPreheim: Heart wrenching @COEmergency reports 11,700 evacuated.  17,494 housing structures damaged, 1502 homes destroyed. #coflood
Secondary Annotations: DCC
Information Type: Affected individuals",13194
RT @AlexSalmond: I can confirm that it is a police helicopter which has been involved in the tragic accident in Glasgow.  #Clutha,Police should assess the scene for public safety and crowd control following the helicopter crash in Glasgow.,Police,DCC,Crash,Other Useful Information,"Responder Roles: Police
Disaster Type: Crash
Tweet: RT @AlexSalmond: I can confirm that it is a police helicopter which has been involved in the tragic accident in Glasgow.  #Clutha
Secondary Annotations: DCC
Information Type: Other Useful Information",14039
RT @LarimerSheriff: #HighParkFire evacuation orders issued for Pingree Park area.  25 notifications sent http://t.co/oSmxBfqJ,Firefighters should evaluate evacuation orders and secure access routes for operations in the Pingree Park area due to the wildfire.,Firefighter,USAR,Wildfire,Caution and advice,"Responder Roles: Firefighter
Disaster Type: Wildfire
Tweet: RT @LarimerSheriff: #HighParkFire evacuation orders issued for Pingree Park area.  25 notifications sent http://t.co/oSmxBfqJ
Secondary Annotations: USAR
Information Type: Caution and advice",125
Bangladesh factory fire kills eight; collapse toll tops 900: DHAKA: Eight people were killed when a fire swept... http://t.co/nuhcLQ1QWm,Firefighters should evaluate the site for structural risks and focus on rescuing any potentially trapped individuals following the collapse.,Firefighter,FC,Collapse,Affected individuals,"Responder Roles: Firefighter
Disaster Type: Collapse
Tweet: Bangladesh factory fire kills eight; collapse toll tops 900: DHAKA: Eight people were killed when a fire swept... http://t.co/nuhcLQ1QWm
Secondary Annotations: FC
Information Type: Affected individuals",23524
