group_field,group_value,numeric_field,bin_label,bin_min,bin_max,count,percentage
overall,overall,reward,0-0.4,0.0,0.4,173,0.02882852857857024
overall,overall,reward,0.4-0.5,0.4,0.5,1254,0.2089651724712548
overall,overall,reward,0.5-0.6,0.5,0.6,1553,0.25879020163306116
overall,overall,reward,0.6-0.7,0.6,0.7,1241,0.20679886685552407
overall,overall,reward,0.7-0.8,0.7,0.8,1606,0.26762206298950175
overall,overall,reward,0.8-1,0.8,1.000000001,174,0.028995167472087986
overall,overall,relevance,0-0.4,0.0,0.4,0,0.0
overall,overall,relevance,0.4-0.5,0.4,0.5,0,0.0
overall,overall,relevance,0.5-0.6,0.5,0.6,63,0.010498250291618064
overall,overall,relevance,0.6-0.7,0.6,0.7,1804,0.30061656390601565
overall,overall,relevance,0.7-0.8,0.7,0.8,3690,0.6148975170804866
overall,overall,relevance,0.8-1,0.8,1.000000001,444,0.07398766872187969
overall,overall,factuality,0-0.4,0.0,0.4,0,0.0
overall,overall,factuality,0.4-0.5,0.4,0.5,5691,0.9483419430094984
overall,overall,factuality,0.5-0.6,0.5,0.6,310,0.051658056990501584
overall,overall,factuality,0.6-0.7,0.6,0.7,0,0.0
overall,overall,factuality,0.7-0.8,0.7,0.8,0,0.0
overall,overall,factuality,0.8-1,0.8,1.000000001,0,0.0
overall,overall,role_coverage,0-0.4,0.0,0.4,2516,0.4192634560906516
overall,overall,role_coverage,0.4-0.5,0.4,0.5,7,0.0011664722546242292
overall,overall,role_coverage,0.5-0.6,0.5,0.6,799,0.13314447592067988
overall,overall,role_coverage,0.6-0.7,0.6,0.7,254,0.04232627895350775
overall,overall,role_coverage,0.7-0.8,0.7,0.8,41,0.0068321946342276285
overall,overall,role_coverage,0.8-1,0.8,1.000000001,2384,0.39726712214630894
overall,overall,urgency,0-0.4,0.0,0.4,559,0.09315114147642059
overall,overall,urgency,0.4-0.5,0.4,0.5,1138,0.18963506082319614
overall,overall,urgency,0.5-0.6,0.5,0.6,955,0.15914014330944842
overall,overall,urgency,0.6-0.7,0.6,0.7,22,0.0036660556573904347
overall,overall,urgency,0.7-0.8,0.7,0.8,0,0.0
overall,overall,urgency,0.8-1,0.8,1.000000001,3327,0.5544075987335444
overall,overall,summary_word_count,0-10,0,10,0,0.0
overall,overall,summary_word_count,10-20,10,20,5028,0.8378603566072321
overall,overall,summary_word_count,20-30,20,30,973,0.16213964339276787
overall,overall,summary_word_count,30-40,30,40,0,0.0
overall,overall,summary_word_count,40-60,40,60,0,0.0
overall,overall,summary_word_count,60+,60,inf,0,0.0
overall,overall,summary_char_length,0-80,0,80,3,0.0004999166805532411
overall,overall,summary_char_length,80-160,80,160,5965,0.9940009998333611
overall,overall,summary_char_length,160-240,160,240,33,0.005499083486085653
overall,overall,summary_char_length,240-320,240,320,0,0.0
overall,overall,summary_char_length,320-480,320,480,0,0.0
overall,overall,summary_char_length,480+,480,inf,0,0.0
overall,overall,summary_sentence_count,0-1,0,1,0,0.0
overall,overall,summary_sentence_count,1-2,1,2,5959,0.9930011664722547
overall,overall,summary_sentence_count,2-3,2,3,41,0.0068321946342276285
overall,overall,summary_sentence_count,3-4,3,4,0,0.0
overall,overall,summary_sentence_count,4+,4,inf,1,0.00016663889351774705
