selection,selected_score,tweet_id,source_row_id,role,disaster_type,information_type,prediction_text,target_text,reward,relevance,factuality,role_coverage,urgency,roles_scored,unsupported_terms,urgency_source_terms,urgency_candidate_terms
lowest_reward,0.35491812866595057,891,22644,Firefighter/EMS,Collapse,Affected individuals,"Firefighters should assess crowd control needs, while EMS prepares for potential evacuations.","Firefighters should focus on search and rescue, while EMS prepares for casualties and medical support following the building collapse.",0.35491812866595057,0.7442105263471603,0.37777777777777777,0.0,0.0,Firefighter/EMS,"control, crowd, evacuations, firefighters, needs, potential, prepares, should",fatalities,
lowest_reward,0.35554070795575776,3232,18154,Police/Firefighter/EMS,Derailment,Affected individuals,"Police should monitor crowd control, firefighters should assess crowd control, and EMS should manage crowd control, while EMS prepares for potential medical needs.","Police should ensure scene security, firefighters may need to conduct search and rescue, and EMS must prepare for casualty triage.",0.35554070795575776,0.7182115465402603,0.41666666666666663,0.0,0.0,Police/Firefighter/EMS,"control, crowd, firefighters, manage, medical, needs, potential, prepares, should",fatalities,
lowest_reward,0.3576808389690187,2789,22717,Firefighter/EMS,Collapse,Affected individuals,"Firefighters should assess crowd control needs, while EMS prepares for emergency response.","Firefighters should assess for trapped individuals, while EMS prepares for casualties and coordinates medical support in the collapse area.",0.3576808389690187,0.7521039843559265,0.37777777777777777,0.0,0.0,Firefighter/EMS,"control, crowd, emergency, firefighters, needs, prepares, response, should",collapse,emergency
lowest_reward,0.3630677862465381,1308,27178,Police/EMS,Explosion,Affected individuals,"Police should assess crowd control needs, while EMS prepares for public safety concerns.","Police should secure the explosion site, while EMS prepares for mass casualty triage and transport of injured individuals.",0.3630677862465381,0.7230508178472519,0.43999999999999995,0.0,0.0,Police/EMS,"concerns, control, crowd, needs, prepares, public, safety, should","injuries, explosion",
lowest_reward,0.3637872359156608,2096,20691,Police/EMS,Meteorite,Affected individuals,"Police should assess crowd control needs, while EMS prepares for potential medical emergencies.","Police should assess crowd control and safety, while EMS prepares for triage and support for numerous injuries from the meteor strike.",0.3637872359156608,0.7251063883304596,0.43999999999999995,0.0,0.0,Police/EMS,"control, crowd, emergencies, medical, needs, potential, prepares, should",injured,
lowest_reward,0.37121326185085557,2381,27681,Police/EMS,Explosion,Sympathy and support,"Police should assess crowd control needs, while EMS prepares for crowd control and medical support.","Police should assess threats from bomb reports, while EMS prepares for potential medical needs related to violence.",0.37121326185085557,0.7099599689245224,0.49090909090909085,0.0,0.0,Police/EMS,"control, crowd, medical, needs, prepares, should",killed,
lowest_reward,0.3721578747034073,2846,16618,Police/EMS,Derailment,Affected individuals,"Police should assess crowd control needs, while EMS prepares for crowd control and public safety following the reported derailment.","Police should ensure scene security amid rising casualty reports, while EMS prepares for potential triage and transport of affected individuals.",0.3721578747034073,0.7418796420097351,0.44999999999999996,0.0,0.0,Police/EMS,"control, crowd, following, needs, prepares, public, reported, safety, should",dead,
lowest_reward,0.38447289400630524,497,12103,EMS,Fire,Affected individuals,EMS should assess potential medical needs and coordinate with MMU for emergency response.,Assess potential casualties and prioritize medical response for victims of the nightclub fire.,0.38447289400630524,0.7730971574783325,0.4555555555555555,0.0,0.0,EMS,"coordinate, emergency, medical, needs, potential, response, should",dead,emergency
lowest_reward,0.38688935637474053,2840,1897,Police/EMS,Earthquake,Affected individuals,"Police should assess crowd control needs, while EMS prepares for potential medical needs due to the earthquake.","Police should monitor for crowd control and crime, while EMS prepares for medical emergencies and coordinates patient transport.",0.38688935637474053,0.7661124467849731,0.475,0.0,0.0,Police/EMS,"control, crowd, due, medical, needs, potential, prepares, should",dead,
lowest_reward,0.39390363991260524,2985,16219,EMS,Derailment,Affected individuals,EMS should assess crowd control needs and coordinate response efforts following the train's derailment in Canada.,Assess potential casualties and prioritize medical response for victims from the train explosion.,0.39390363991260524,0.786153256893158,0.475,0.0,0.0,EMS,"control, coordinate, crowd, efforts, following, needs, response, should, train's",dead,
highest_reward,0.9162096351385116,1056,26966,EMS,Explosion,Affected individuals,EMS should assess potential injuries from the explosion at the fertilizer plant in Texas.,EMS should assess injuries and coordinate triage and transport for individuals affected by the explosion at the Texas fertilizer plant.,0.9162096351385116,0.8855989575386047,0.825,1.0,1.0,EMS,"potential, should","injuries, explosion","injuries, explosion"
highest_reward,0.8591668631633123,549,7852,Firefighter,Floods,Infrastructure and utilities,Firefighters should assess potential hazards and assess potential hazards from the hazmat response team arriving at the federal govts Harry Hays building.,Firefighters should assess gas leak risks at the federal building and coordinate with HAZMAT for safety measures during the flood response.,0.8591668631633123,0.8309529423713684,0.6733333333333333,1.0,1.0,Firefighter,"arriving, firefighters, hazards, potential, should",hazmat,hazmat
highest_reward,0.8569392845034599,3828,1575,Police,Earthquake,Caution and advice,Police should assess evacuation needs and coordinate with DCC for public safety following the earthquake.,Police should monitor coastal areas for potential evacuation needs and assess public safety after the Costa Rica quake.,0.8569392845034599,0.8412550985813141,0.65,1.0,1.0,Police,"coordinate, needs, public, safety, should",evacuation,evacuation
highest_reward,0.8540607811676131,338,27359,EMS,Explosion,Affected individuals,EMS should assess casualties from the explosion and coordinate with MMU to coordinate response efforts.,"EMS should prioritize medical response for potential casualties from the reported explosion at the fertiliser plant in Waco, Texas.",0.8540607811676131,0.8608085811138153,0.611111111111111,1.0,1.0,EMS,"coordinate, efforts, response, should",casualties,"casualties, explosion"
